kane,TOT,12.5
lukaku,MUN,11.5
deeney,WAT,6.5
defoe,BOU,8.0
gayle,NEW,6.5
austin,SOU,6.5
rodriguez,,6.0
benteke,CPL,8.0
lacazette,ARS,10.5
jesus,MCI,10.5
