carroll,SWA,4.5
pogba,MUN,8.0
ramsey,ARS,7.0
alli,TOT,9.5
willian,CHE,7
RLC,CPL,4.5
coutinho,LIV,9.0
pedro,CHE,8.0
zaha,CPL,7.0
lanzini,WHU,7.0
stanislas,BOU,6.0
ayew,WHU,7.0
de bruyne,MCI,10.0
sane,MCI,8.5
ince,HUD,6.0
